Year,Marine ID,Name,Event,Rank,Company,Squad,Slot,Details
540,121,Erebus Styx,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,122,Lucius Talon,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,123,Severin Night,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,124,Valerius Grim,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,125,Quintus Sorrow,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,126,Araxen Dust,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,127,Dante Gallow,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,128,Septimus Wraith,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,129,Titus End,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,200,Ferren Vrox,Ingested,Captain,-2,-2,-2,Initial Roster Import
540,201,Haldor Iron-Foot,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,202,Brunt Stone-Speaker,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,203,Korg Thundermane,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,204,Grendel Vorn,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,205,Olaf Berg,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,206,Thoros Hammer-Hand,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,207,Sigurd Forge,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,208,Hrolf Slate,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,209,Magnus Quake,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,210,Egil Anvil,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,211,Bjorn Richter,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,212,Ulfric Basalt,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,213,Torsten Crag,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,214,Gunnar Weld,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,215,Snorri Tecton,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,216,Leif Granite,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,217,Haakon Steam,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,218,Roderick Bull,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,219,Krell Mountain,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,220,Varin Sludge,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,221,Osric Foundry,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,222,Brom Piston,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,223,Tybalt Gear,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,224,Yngvar Rivet,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,225,Arvid Smelt,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,226,Stig Cinder,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,227,Fritjof Bore,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,228,Rolf Sunder,Ingested,Apothecary,-2,-2,-2,Initial Roster Import
540,229,Hrolf Gasket,Ingested,Apothecary,-2,-2,-2,Initial Roster Import
540,230,Viggo Plate,Ingested,Techmarine,-2,-2,-2,Initial Roster Import
540,231,Erlend Chisel,Ingested,Techmarine,-2,-2,-2,Initial Roster Import
540,232,Knute Shaft,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,233,Sven Heavy,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,234,Gorm Turbine,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,235,Alaric Strut,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,236,Jarl Beam,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,237,Torin Girder,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,238,Bodin Drill,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,239,Soren Grinder,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,240,Ivar Blast,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,243,Einar Shovel,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,244,Halvdan Chain,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,245,Knut Lever,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,246,Skard Fulcrum,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,247,Hebron Mast,Ingested,Veteran Battle Brother,-2,-2,-2,Initial Roster Import
540,103,Boros,Transfer,Veteran Battle Brother,0,0,3,Deployed to 0-0-3
544,200,Ferren Vrox,Transfer,Captain,-1,0,0,Deployed to -1-0-0
544,200,Ferren Vrox,Transfer,Captain,1,0,0,Deployed to 1-0-0
549,112,Lazarus Void,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
549,112,Lazarus Void,Transfer,Veteran Battle Brother,0,0,4,Deployed to 0-0-4
550,110,Silas Mourn,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
550,110,Silas Mourn,Transfer,Veteran Battle Brother,0,0,5,Deployed to 0-0-5
551,126,Araxen Dust,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
551,126,Araxen Dust,Transfer,Veteran Battle Brother,0,0,6,Deployed to 0-0-6
554,122,Lucius Talon,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
554,103,Boros,Transfer,Veteran Battle Brother,0,0,1,Deployed to 0-0-1
554,103,Boros,Promotion,Lieutenant,0,0,1,Promoted to Lieutenant
554,122,Lucius Talon,Transfer,Veteran Battle Brother,0,0,3,Deployed to 0-0-3
557,124,Valerius Grim,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
557,124,Valerius Grim,Transfer,Veteran Battle Brother,0,0,7,Deployed to 0-0-7
560,218,Roderick Bull,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
560,218,Roderick Bull,Transfer,Veteran Battle Brother,0,0,8,Deployed to 0-0-8
563,209,Magnus Quake,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
563,112,Lazarus Void,Transfer,Veteran Battle Brother,0,0,2,Deployed to 0-0-2
563,112,Lazarus Void,Promotion,Lieutenant,0,0,2,Promoted to Lieutenant
563,209,Magnus Quake,Transfer,Veteran Battle Brother,0,0,4,Deployed to 0-0-4
564,110,Silas Mourn,Transfer,Veteran Battle Brother,0,2,0,Deployed to 0-2-0
564,110,Silas Mourn,Promotion,Chaplain,0,2,0,Promoted to Chaplain
565,116,Vaxen Hollow,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
565,129,Titus End,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
565,116,Vaxen Hollow,Transfer,Veteran Battle Brother,0,0,5,Deployed to 0-0-5
565,129,Titus End,Transfer,Veteran Battle Brother,0,0,9,Deployed to 0-0-9
565,126,Araxen Dust,Transfer,Veteran Battle Brother,0,2,1,Deployed to 0-2-1
565,126,Araxen Dust,Promotion,Chaplain,0,2,1,Promoted to Chaplain
566,101,Garrick,Transfer,Battle Brother,-1,0,0,Deployed to -1-0-0
566,101,Garrick,Transfer,Battle Brother,2,1,2,Deployed to 2-1-2
567,235,Alaric Strut,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
567,235,Alaric Strut,Transfer,Veteran Battle Brother,0,0,6,Deployed to 0-0-6
568,104,Vorenus Kyre,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
568,109,Kovalt Shade,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
568,104,Vorenus Kyre,Transfer,Veteran Battle Brother,0,0,10,Deployed to 0-0-10
568,109,Kovalt Shade,Transfer,Veteran Battle Brother,0,1,4,Deployed to 0-1-4
568,122,Lucius Talon,Transfer,Veteran Battle Brother,0,2,2,Deployed to 0-2-2
568,122,Lucius Talon,Promotion,Chaplain,0,2,2,Promoted to Chaplain
571,108,Draxen Gloom,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
571,246,Skard Fulcrum,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
571,108,Draxen Gloom,Transfer,Veteran Battle Brother,0,0,3,Deployed to 0-0-3
571,246,Skard Fulcrum,Transfer,Veteran Battle Brother,0,1,5,Deployed to 0-1-5
571,124,Valerius Grim,Transfer,Veteran Battle Brother,0,2,3,Deployed to 0-2-3
571,124,Valerius Grim,Promotion,Chaplain,0,2,3,Promoted to Chaplain
572,228,Rolf Sunder,Transfer,Apothecary,-1,0,0,Deployed to -1-0-0
572,229,Hrolf Gasket,Transfer,Apothecary,-1,0,1,Deployed to -1-0-1
572,108,Draxen Gloom,Promotion,Battle Brother,-2,-2,-2,Promoted to Battle Brother
572,108,Draxen Gloom,Transfer,Battle Brother,-1,0,2,Deployed to -1-0-2
572,228,Rolf Sunder,Transfer,Apothecary,0,1,0,Deployed to 0-1-0
572,229,Hrolf Gasket,Transfer,Apothecary,0,1,1,Deployed to 0-1-1
573,108,Draxen Gloom,Transfer,Battle Brother,2,1,3,Deployed to 2-1-3
574,227,Fritjof Bore,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
574,236,Jarl Beam,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
574,239,Soren Grinder,Transfer,Veteran Battle Brother,-1,0,2,Deployed to -1-0-2
574,227,Fritjof Bore,Transfer,Veteran Battle Brother,0,0,3,Deployed to 0-0-3
574,236,Jarl Beam,Transfer,Veteran Battle Brother,0,0,7,Deployed to 0-0-7
574,239,Soren Grinder,Transfer,Veteran Battle Brother,0,2,4,Deployed to 0-2-4
574,218,Roderick Bull,Transfer,Veteran Battle Brother,1,0,1,Deployed to 1-0-1
574,218,Roderick Bull,Promotion,Standard Bearer,1,0,1,Promoted to Standard Bearer
574,103,Boros,Transfer,Lieutenant,2,0,0,Deployed to 2-0-0
574,103,Boros,Promotion,Captain,2,0,0,Promoted to Captain
576,117,Gaius Dirge,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
576,230,Viggo Plate,Transfer,Techmarine,-1,0,1,Deployed to -1-0-1
576,117,Gaius Dirge,Transfer,Veteran Battle Brother,0,0,8,Deployed to 0-0-8
576,230,Viggo Plate,Transfer,Techmarine,0,4,0,Deployed to 0-4-0
577,205,Olaf Berg,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
577,240,Ivar Blast,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
577,209,Magnus Quake,Transfer,Veteran Battle Brother,0,0,1,Deployed to 0-0-1
577,209,Magnus Quake,Promotion,Lieutenant,0,0,1,Promoted to Lieutenant
577,205,Olaf Berg,Transfer,Veteran Battle Brother,0,0,4,Deployed to 0-0-4
577,240,Ivar Blast,Transfer,Veteran Battle Brother,0,2,5,Deployed to 0-2-5
577,108,Draxen Gloom,Transfer,Battle Brother,2,1,0,Deployed to 2-1-0
577,108,Draxen Gloom,Promotion,Sergeant,2,1,0,Promoted to Sergeant
578,206,Thoros Hammer-Hand,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
578,206,Thoros Hammer-Hand,Transfer,Veteran Battle Brother,0,2,6,Deployed to 0-2-6
579,202,Brunt Stone-Speaker,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
579,202,Brunt Stone-Speaker,Transfer,Veteran Battle Brother,0,2,7,Deployed to 0-2-7
579,116,Vaxen Hollow,Transfer,Veteran Battle Brother,1,0,3,Deployed to 1-0-3
579,116,Vaxen Hollow,Promotion,Chaplain,1,0,3,Promoted to Chaplain
579,129,Titus End,Transfer,Veteran Battle Brother,1,0,5,Deployed to 1-0-5
579,129,Titus End,Promotion,Lieutenant,1,0,5,Promoted to Lieutenant
580,105,Corvus Vane,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
580,114,Castor Mortis,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
580,119,Malichai Wraight,Transfer,Veteran Battle Brother,-1,0,2,Deployed to -1-0-2
580,213,Torsten Crag,Transfer,Veteran Battle Brother,-1,0,3,Deployed to -1-0-3
580,105,Corvus Vane,Transfer,Veteran Battle Brother,0,0,5,Deployed to 0-0-5
580,114,Castor Mortis,Transfer,Veteran Battle Brother,0,0,9,Deployed to 0-0-9
580,119,Malichai Wraight,Transfer,Veteran Battle Brother,0,3,4,Deployed to 0-3-4
580,213,Torsten Crag,Transfer,Veteran Battle Brother,0,3,5,Deployed to 0-3-5
581,215,Snorri Tecton,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
581,215,Snorri Tecton,Transfer,Veteran Battle Brother,0,3,6,Deployed to 0-3-6
581,235,Alaric Strut,Transfer,Veteran Battle Brother,1,0,6,Deployed to 1-0-6
581,235,Alaric Strut,Promotion,Lieutenant,1,0,6,Promoted to Lieutenant
582,115,Hadrian Cael,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
582,217,Haakon Steam,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
582,115,Hadrian Cael,Transfer,Veteran Battle Brother,0,0,6,Deployed to 0-0-6
582,217,Haakon Steam,Transfer,Veteran Battle Brother,0,3,7,Deployed to 0-3-7
582,104,Vorenus Kyre,Transfer,Veteran Battle Brother,2,0,1,Deployed to 2-0-1
582,104,Vorenus Kyre,Promotion,Standard Bearer,2,0,1,Promoted to Standard Bearer
582,109,Kovalt Shade,Transfer,Veteran Battle Brother,2,0,3,Deployed to 2-0-3
582,109,Kovalt Shade,Promotion,Chaplain,2,0,3,Promoted to Chaplain
583,222,Brom Piston,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
583,224,Yngvar Rivet,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
583,244,Halvdan Chain,Transfer,Veteran Battle Brother,-1,0,2,Deployed to -1-0-2
583,222,Brom Piston,Transfer,Veteran Battle Brother,0,0,10,Deployed to 0-0-10
583,224,Yngvar Rivet,Transfer,Veteran Battle Brother,0,1,4,Deployed to 0-1-4
583,244,Halvdan Chain,Transfer,Veteran Battle Brother,0,4,5,Deployed to 0-4-5
583,112,Lazarus Void,Transfer,Lieutenant,3,0,0,Deployed to 3-0-0
583,112,Lazarus Void,Promotion,Captain,3,0,0,Promoted to Captain
584,201,Haldor Iron-Foot,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
584,201,Haldor Iron-Foot,Transfer,Veteran Battle Brother,0,4,6,Deployed to 0-4-6
585,247,Hebron Mast,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
585,246,Skard Fulcrum,Transfer,Veteran Battle Brother,0,0,2,Deployed to 0-0-2
585,246,Skard Fulcrum,Promotion,Lieutenant,0,0,2,Promoted to Lieutenant
585,247,Hebron Mast,Transfer,Veteran Battle Brother,0,1,5,Deployed to 0-1-5
586,102,Tobius Cromwel,Transfer,Chaplain,-1,0,0,Deployed to -1-0-0
586,120,Cyprian Bale,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
586,219,Krell Mountain,Transfer,Veteran Battle Brother,-1,0,2,Deployed to -1-0-2
586,120,Cyprian Bale,Transfer,Veteran Battle Brother,0,4,7,Deployed to 0-4-7
586,219,Krell Mountain,Transfer,Veteran Battle Brother,0,4,8,Deployed to 0-4-8
586,102,Tobius Cromwel,Transfer,Chaplain,3,0,3,Deployed to 3-0-3
587,118,Torvin Ash,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
587,118,Torvin Ash,Transfer,Veteran Battle Brother,1,1,2,Deployed to 1-1-2
588,128,Septimus Wraith,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
588,128,Septimus Wraith,Transfer,Veteran Battle Brother,1,1,3,Deployed to 1-1-3
588,227,Fritjof Bore,Transfer,Veteran Battle Brother,2,0,5,Deployed to 2-0-5
588,227,Fritjof Bore,Promotion,Lieutenant,2,0,5,Promoted to Lieutenant
588,236,Jarl Beam,Transfer,Veteran Battle Brother,2,0,6,Deployed to 2-0-6
588,236,Jarl Beam,Promotion,Lieutenant,2,0,6,Promoted to Lieutenant
588,239,Soren Grinder,Transfer,Veteran Battle Brother,3,0,1,Deployed to 3-0-1
588,239,Soren Grinder,Promotion,Standard Bearer,3,0,1,Promoted to Standard Bearer
590,125,Quintus Sorrow,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
590,125,Quintus Sorrow,Transfer,Veteran Battle Brother,0,0,3,Deployed to 0-0-3
590,117,Gaius Dirge,Transfer,Veteran Battle Brother,3,0,5,Deployed to 3-0-5
590,117,Gaius Dirge,Promotion,Lieutenant,3,0,5,Promoted to Lieutenant
591,121,Erebus Styx,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
591,203,Korg Thundermane,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
591,226,Stig Cinder,Transfer,Veteran Battle Brother,-1,0,2,Deployed to -1-0-2
591,232,Knute Shaft,Transfer,Veteran Battle Brother,-1,0,3,Deployed to -1-0-3
591,201,Haldor Iron-Foot,Promotion,Battle Brother,-2,-2,-2,Promoted to Battle Brother
591,201,Haldor Iron-Foot,Transfer,Battle Brother,-1,0,4,Deployed to -1-0-4
591,121,Erebus Styx,Transfer,Veteran Battle Brother,0,0,7,Deployed to 0-0-7
591,203,Korg Thundermane,Transfer,Veteran Battle Brother,0,0,8,Deployed to 0-0-8
591,226,Stig Cinder,Transfer,Veteran Battle Brother,0,2,4,Deployed to 0-2-4
591,232,Knute Shaft,Transfer,Veteran Battle Brother,0,4,6,Deployed to 0-4-6
591,205,Olaf Berg,Transfer,Veteran Battle Brother,3,0,6,Deployed to 3-0-6
591,205,Olaf Berg,Promotion,Lieutenant,3,0,6,Promoted to Lieutenant
591,240,Ivar Blast,Transfer,Veteran Battle Brother,4,0,1,Deployed to 4-0-1
591,240,Ivar Blast,Promotion,Standard Bearer,4,0,1,Promoted to Standard Bearer
592,225,Arvid Smelt,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
592,225,Arvid Smelt,Transfer,Veteran Battle Brother,0,0,4,Deployed to 0-0-4
592,201,Haldor Iron-Foot,Transfer,Battle Brother,2,1,3,Deployed to 2-1-3
592,206,Thoros Hammer-Hand,Transfer,Veteran Battle Brother,4,0,3,Deployed to 4-0-3
592,206,Thoros Hammer-Hand,Promotion,Chaplain,4,0,3,Promoted to Chaplain
593,202,Brunt Stone-Speaker,Transfer,Veteran Battle Brother,4,0,5,Deployed to 4-0-5
593,202,Brunt Stone-Speaker,Promotion,Lieutenant,4,0,5,Promoted to Lieutenant
594,231,Erlend Chisel,Transfer,Techmarine,-1,0,0,Deployed to -1-0-0
594,233,Sven Heavy,Transfer,Veteran Battle Brother,-1,0,1,Deployed to -1-0-1
594,233,Sven Heavy,Transfer,Veteran Battle Brother,0,2,5,Deployed to 0-2-5
594,105,Corvus Vane,Transfer,Veteran Battle Brother,4,0,6,Deployed to 4-0-6
594,105,Corvus Vane,Promotion,Lieutenant,4,0,6,Promoted to Lieutenant
594,114,Castor Mortis,Transfer,Veteran Battle Brother,5,0,1,Deployed to 5-0-1
594,114,Castor Mortis,Promotion,Standard Bearer,5,0,1,Promoted to Standard Bearer
594,119,Malichai Wraight,Transfer,Veteran Battle Brother,5,0,3,Deployed to 5-0-3
594,119,Malichai Wraight,Promotion,Chaplain,5,0,3,Promoted to Chaplain
594,231,Erlend Chisel,Transfer,Techmarine,5,0,5,Deployed to 5-0-5
594,213,Torsten Crag,Transfer,Veteran Battle Brother,5,0,6,Deployed to 5-0-6
594,213,Torsten Crag,Promotion,Lieutenant,5,0,6,Promoted to Lieutenant
595,215,Snorri Tecton,Transfer,Veteran Battle Brother,5,0,7,Deployed to 5-0-7
595,215,Snorri Tecton,Promotion,Lieutenant,5,0,7,Promoted to Lieutenant
596,211,Bjorn Richter,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
596,217,Haakon Steam,Promotion,Battle Brother,-2,-2,-2,Promoted to Battle Brother
596,217,Haakon Steam,Transfer,Battle Brother,-1,0,1,Deployed to -1-0-1
596,211,Bjorn Richter,Transfer,Veteran Battle Brother,0,0,5,Deployed to 0-0-5
596,201,Haldor Iron-Foot,Transfer,Battle Brother,2,1,1,Deployed to 2-1-1
596,201,Haldor Iron-Foot,Promotion,Bond-Keeper,2,1,1,Promoted to Bond-Keeper
596,115,Hadrian Cael,Transfer,Veteran Battle Brother,6,0,1,Deployed to 6-0-1
596,115,Hadrian Cael,Promotion,Standard Bearer,6,0,1,Promoted to Standard Bearer
597,217,Haakon Steam,Transfer,Battle Brother,2,1,3,Deployed to 2-1-3
597,209,Magnus Quake,Transfer,Lieutenant,4,0,0,Deployed to 4-0-0
597,209,Magnus Quake,Promotion,Captain,4,0,0,Promoted to Captain
597,222,Brom Piston,Transfer,Veteran Battle Brother,6,0,3,Deployed to 6-0-3
597,222,Brom Piston,Promotion,Chaplain,6,0,3,Promoted to Chaplain
597,224,Yngvar Rivet,Transfer,Veteran Battle Brother,6,0,5,Deployed to 6-0-5
597,224,Yngvar Rivet,Promotion,Lieutenant,6,0,5,Promoted to Lieutenant
597,244,Halvdan Chain,Transfer,Veteran Battle Brother,6,0,6,Deployed to 6-0-6
597,244,Halvdan Chain,Promotion,Lieutenant,6,0,6,Promoted to Lieutenant
598,220,Varin Sludge,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
598,220,Varin Sludge,Transfer,Veteran Battle Brother,0,0,6,Deployed to 0-0-6
599,237,Torin Girder,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
599,247,Hebron Mast,Transfer,Veteran Battle Brother,0,0,1,Deployed to 0-0-1
599,247,Hebron Mast,Promotion,Lieutenant,0,0,1,Promoted to Lieutenant
599,237,Torin Girder,Transfer,Veteran Battle Brother,0,0,9,Deployed to 0-0-9
599,129,Titus End,Transfer,Lieutenant,5,0,0,Deployed to 5-0-0
599,129,Titus End,Promotion,Captain,5,0,0,Promoted to Captain
600,120,Cyprian Bale,Transfer,Veteran Battle Brother,1,0,5,Deployed to 1-0-5
600,120,Cyprian Bale,Promotion,Lieutenant,1,0,5,Promoted to Lieutenant
600,219,Krell Mountain,Transfer,Veteran Battle Brother,7,0,1,Deployed to 7-0-1
600,219,Krell Mountain,Promotion,Standard Bearer,7,0,1,Promoted to Standard Bearer
601,217,Haakon Steam,Transfer,Battle Brother,2,0,2,Deployed to 2-0-2
601,217,Haakon Steam,Promotion,Apothecary,2,0,2,Promoted to Apothecary
601,235,Alaric Strut,Transfer,Lieutenant,6,0,0,Deployed to 6-0-0
601,235,Alaric Strut,Promotion,Captain,6,0,0,Promoted to Captain
601,118,Torvin Ash,Transfer,Veteran Battle Brother,7,0,3,Deployed to 7-0-3
601,118,Torvin Ash,Promotion,Chaplain,7,0,3,Promoted to Chaplain
602,234,Gorm Turbine,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
602,234,Gorm Turbine,Transfer,Veteran Battle Brother,0,0,10,Deployed to 0-0-10
602,128,Septimus Wraith,Transfer,Veteran Battle Brother,1,0,6,Deployed to 1-0-6
602,128,Septimus Wraith,Promotion,Lieutenant,1,0,6,Promoted to Lieutenant
603,111,Thulsa Graves,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
603,111,Thulsa Graves,Transfer,Veteran Battle Brother,0,1,4,Deployed to 0-1-4
604,125,Quintus Sorrow,Transfer,Veteran Battle Brother,7,0,5,Deployed to 7-0-5
604,125,Quintus Sorrow,Promotion,Lieutenant,7,0,5,Promoted to Lieutenant
605,204,Grendel Vorn,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
605,204,Grendel Vorn,Transfer,Veteran Battle Brother,0,0,3,Deployed to 0-0-3
605,246,Skard Fulcrum,Transfer,Lieutenant,7,0,0,Deployed to 7-0-0
605,246,Skard Fulcrum,Promotion,Captain,7,0,0,Promoted to Captain
605,121,Erebus Styx,Transfer,Veteran Battle Brother,7,0,6,Deployed to 7-0-6
605,121,Erebus Styx,Promotion,Lieutenant,7,0,6,Promoted to Lieutenant
605,203,Korg Thundermane,Transfer,Veteran Battle Brother,8,0,1,Deployed to 8-0-1
605,203,Korg Thundermane,Promotion,Standard Bearer,8,0,1,Promoted to Standard Bearer
605,226,Stig Cinder,Transfer,Veteran Battle Brother,8,0,3,Deployed to 8-0-3
605,226,Stig Cinder,Promotion,Chaplain,8,0,3,Promoted to Chaplain
605,232,Knute Shaft,Transfer,Veteran Battle Brother,8,0,5,Deployed to 8-0-5
605,232,Knute Shaft,Promotion,Lieutenant,8,0,5,Promoted to Lieutenant
606,127,Dante Gallow,Transfer,Veteran Battle Brother,-1,0,0,Deployed to -1-0-0
606,225,Arvid Smelt,Transfer,Veteran Battle Brother,0,0,2,Deployed to 0-0-2
606,225,Arvid Smelt,Promotion,Lieutenant,0,0,2,Promoted to Lieutenant
606,127,Dante Gallow,Transfer,Veteran Battle Brother,0,0,4,Deployed to 0-0-4
