Chapter ID Number,Name,Cognomen / Earned Name,Born,Date of Geneseed Implantation,Date of Death,Age (Or Age at Death),Wargear,Rank History,Deployment History,Personality / Psy-Profile,Notes
111,Thulsa Graves,,591.M41,603.M41,663.M41,72,,"KIA (Standard Bearer) (663.M41) (72 Years old)
Standard Bearer (617.M41 - 663.M41) (46 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 617.M41) (<1 Year)","10th Chapter, Command Squad (617.M41 - 663.M41) (46 Years)
Apothecarion (603.M41 - 617.M41) (14 Years)
Chapter Reserve (603.M41 - 603.M41) (<1 Year)
",,
112,Lazarus Void,,536.M41,549.M41,664.M41,127,Combat Knife (Slag-Stalker) (640.M41 - 664.M41),"KIA (Captain) (664.M41) (127 Years old)
Captain (583.M41 - 664.M41) (81 Years) (46 Years old on date of promotion)
Lieutenant (563.M41 - 583.M41) (20 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 563.M41) (<1 Year)","3rd Chapter, Command Squad (583.M41 - 664.M41) (81 Years)
Chapter Command (563.M41 - 583.M41) (20 Years)
Chapter Command (549.M41 - 563.M41) (14 Years)
Chapter Reserve (549.M41 - 549.M41) (<1 Year)
",,
113,Balthazar Nyx,,597.M41,610.M41,679.M41,81,,"KIA (Chaplain) (679.M41) (81 Years old)
Chaplain (624.M41 - 679.M41) (55 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 624.M41) (<1 Year)","10th Chapter, 1st Squad (624.M41 - 679.M41) (55 Years)
Reclusiam (610.M41 - 624.M41) (14 Years)
Chapter Reserve (610.M41 - 610.M41) (<1 Year)
",,
114,Castor Mortis,,567.M41,580.M41,646.M41,78,,"KIA (Standard Bearer) (646.M41) (78 Years old)
Standard Bearer (594.M41 - 646.M41) (52 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 594.M41) (<1 Year)","5th Chapter, Command Squad (594.M41 - 646.M41) (52 Years)
Chapter Command (580.M41 - 594.M41) (14 Years)
Chapter Reserve (580.M41 - 580.M41) (<1 Year)
",,
115,Hadrian Cael,,570.M41,582.M41,647.M41,77,,"KIA (Standard Bearer) (647.M41) (77 Years old)
Standard Bearer (596.M41 - 647.M41) (51 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 596.M41) (<1 Year)","6th Chapter, Command Squad (596.M41 - 647.M41) (51 Years)
Chapter Command (582.M41 - 596.M41) (14 Years)
Chapter Reserve (582.M41 - 582.M41) (<1 Year)
",,
116,Vaxen Hollow,,553.M41,565.M41,651.M41,98,,"KIA (Chaplain) (651.M41) (98 Years old)
Chaplain (579.M41 - 651.M41) (72 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 579.M41) (<1 Year)","1st Chapter, Command Squad (579.M41 - 651.M41) (72 Years)
Chapter Command (565.M41 - 579.M41) (14 Years)
Chapter Reserve (565.M41 - 565.M41) (<1 Year)
",,
117,Gaius Dirge,,563.M41,576.M41,650.M41,86,,"KIA (Lieutenant) (650.M41) (86 Years old)
Lieutenant (590.M41 - 650.M41) (60 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 590.M41) (<1 Year)","3rd Chapter, Command Squad (590.M41 - 650.M41) (60 Years)
Chapter Command (576.M41 - 590.M41) (14 Years)
Chapter Reserve (576.M41 - 576.M41) (<1 Year)
",,
118,Torvin Ash,,574.M41,587.M41,651.M41,76,,"KIA (Chaplain) (651.M41) (76 Years old)
Chaplain (601.M41 - 651.M41) (50 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 601.M41) (<1 Year)","7th Chapter, Command Squad (601.M41 - 651.M41) (50 Years)
1st Chapter, 1st Squad (587.M41 - 601.M41) (14 Years)
Chapter Reserve (587.M41 - 587.M41) (<1 Year)
",,
119,Malichai Wraight,,566.M41,580.M41,650.M41,82,,"KIA (Chaplain) (650.M41) (82 Years old)
Chaplain (594.M41 - 650.M41) (56 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 594.M41) (<1 Year)","5th Chapter, Command Squad (594.M41 - 650.M41) (56 Years)
Libarius (580.M41 - 594.M41) (14 Years)
Chapter Reserve (580.M41 - 580.M41) (<1 Year)
",,
120,Cyprian Bale,,574.M41,586.M41,680.M41,106,Relic Pendant (Laden-Hand Token) (661.M41 - 680.M41),"KIA (Captain) (680.M41) (106 Years old)
Captain (620.M41 - 680.M41) (60 Years) (46 Years old on date of promotion)
Lieutenant (600.M41 - 620.M41) (20 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 600.M41) (<1 Year)","9th Chapter, Command Squad (620.M41 - 680.M41) (60 Years)
1st Chapter, Command Squad (600.M41 - 620.M41) (20 Years)
Armory (586.M41 - 600.M41) (14 Years)
Chapter Reserve (586.M41 - 586.M41) (<1 Year)
",,
121,Erebus Styx,,577.M41,591.M41,662.M41,83,,"KIA (Lieutenant) (662.M41) (83 Years old)
Lieutenant (605.M41 - 662.M41) (57 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 605.M41) (<1 Year)","7th Chapter, Command Squad (605.M41 - 662.M41) (57 Years)
Chapter Command (591.M41 - 605.M41) (14 Years)
Chapter Reserve (591.M41 - 591.M41) (<1 Year)
",,
122,Lucius Talon,,541.M41,554.M41,663.M41,121,,"KIA (Chaplain) (663.M41) (121 Years old)
Chaplain (568.M41 - 663.M41) (95 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 568.M41) (<1 Year)","Reclusiam (568.M41 - 663.M41) (95 Years)
Chapter Command (554.M41 - 568.M41) (14 Years)
Chapter Reserve (554.M41 - 554.M41) (<1 Year)
",,
123,Severin Night,,604.M41,616.M41,681.M41,77,,"KIA (Standard Bearer) (681.M41) (77 Years old)
Standard Bearer (646.M41 - 681.M41) (35 Years) (42 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 646.M41) (21 Years)","5th Chapter, Command Squad (646.M41 - 681.M41) (35 Years)
Libarius (616.M41 - 646.M41) (30 Years)
Chapter Reserve (616.M41 - 616.M41) (<1 Year)
",,
124,Valerius Grim,,544.M41,557.M41,686.M41,141,,"KIA (Chaplain) (686.M41) (141 Years old)
Chaplain (571.M41 - 686.M41) (115 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 571.M41) (<1 Year)","Reclusiam (571.M41 - 686.M41) (115 Years)
Chapter Command (557.M41 - 571.M41) (14 Years)
Chapter Reserve (557.M41 - 557.M41) (<1 Year)
",,
125,Quintus Sorrow,,577.M41,590.M41,661.M41,83,,"KIA (Lieutenant) (661.M41) (83 Years old)
Lieutenant (604.M41 - 661.M41) (57 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 604.M41) (<1 Year)","7th Chapter, Command Squad (604.M41 - 661.M41) (57 Years)
Chapter Command (590.M41 - 604.M41) (14 Years)
Chapter Reserve (590.M41 - 590.M41) (<1 Year)
",,
126,Araxen Dust,,539.M41,551.M41,662.M41,123,,"KIA (Chaplain) (662.M41) (123 Years old)
Chaplain (565.M41 - 662.M41) (97 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 565.M41) (<1 Year)","Reclusiam (565.M41 - 662.M41) (97 Years)
Chapter Command (551.M41 - 565.M41) (14 Years)
Chapter Reserve (551.M41 - 551.M41) (<1 Year)
",,
127,Dante Gallow,,592.M41,606.M41,677.M41,83,,"KIA (Captain) (677.M41) (83 Years old)
Captain (671.M41 - 677.M41) (6 Years) (77 Years old on date of promotion)
Lieutenant (620.M41 - 671.M41) (51 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 620.M41) (<1 Year)","5th Chapter, Command Squad (671.M41 - 677.M41) (6 Years)
Chapter Command (620.M41 - 671.M41) (51 Years)
Chapter Command (606.M41 - 620.M41) (14 Years)
Chapter Reserve (606.M41 - 606.M41) (<1 Year)
",,
128,Septimus Wraith,,576.M41,588.M41,678.M41,102,Crux Terminatus (The Iron Rain Seal) (661.M41 - 678.M41),"KIA (Captain) (678.M41) (102 Years old)
Captain (622.M41 - 678.M41) (56 Years) (46 Years old on date of promotion)
Lieutenant (602.M41 - 622.M41) (20 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 602.M41) (<1 Year)","10th Chapter, Command Squad (622.M41 - 678.M41) (56 Years)
1st Chapter, Command Squad (602.M41 - 622.M41) (20 Years)
1st Chapter, 1st Squad (588.M41 - 602.M41) (14 Years)
Chapter Reserve (588.M41 - 588.M41) (<1 Year)
",,
129,Titus End,,551.M41,565.M41,649.M41,96,,"KIA (Captain) (649.M41) (96 Years old)
Captain (599.M41 - 649.M41) (50 Years) (46 Years old on date of promotion)
Lieutenant (579.M41 - 599.M41) (20 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 579.M41) (<1 Year)","5th Chapter, Command Squad (599.M41 - 649.M41) (50 Years)
1st Chapter, Command Squad (579.M41 - 599.M41) (20 Years)
Chapter Command (565.M41 - 579.M41) (14 Years)
Chapter Reserve (565.M41 - 565.M41) (<1 Year)
",,
200,Ferren Vrox,The Warden of the Wait,531.M41,544.M41,Alive,486,Chainsword (The Sovereign Link) (638.M41 - Current),"Captain (771.M41 - Current) (239 Years old on date of promotion)
Chapter Master (638.M41 - 771.M41) (133 Years) (106 Years old on date of promotion)
Captain (625.M41 - 638.M41) (13 Years)","1st Chapter, Command Squad (771.M41 - Current)
Chapter Command (638.M41 - 771.M41) (133 Years)
1st Chapter, Command Squad (544.M41 - 638.M41) (94 Years)
Chapter Reserve (544.M41 - 544.M41) (<1 Year)
",,Demoted on 771.M41 (from Chapter Master to Captain) Aged 239
201,Haldor Iron-Foot,,571.M41,584.M41,687.M41,115,,"KIA (Bond-Keeper) (687.M41) (115 Years old)
Bond-Keeper (596.M41 - 687.M41) (91 Years) (24 Years old on date of promotion)
Battle Brother (591.M41 - 596.M41) (5 Years) (19 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 591.M41) (<1 Year)","2nd Chapter, 1st Squad (596.M41 - 687.M41) (91 Years)
2nd Chapter, 1st Squad (592.M41 - 596.M41) (4 Years)
Chapter Reserve (591.M41 - 592.M41) (1 Years)
Armory (584.M41 - 591.M41) (7 Years)
Chapter Reserve (584.M41 - 584.M41) (<1 Year)
",,Demoted on 591.M41 (from Veteran Battle Brother to Battle Brother) Aged 19
202,Brunt Stone-Speaker,,567.M41,579.M41,689.M41,122,Combat Knife (Slag-Stalker) (670.M41 - 689.M41),"KIA (Captain) (689.M41) (122 Years old)
Captain (660.M41 - 689.M41) (29 Years) (93 Years old on date of promotion)
Lieutenant (593.M41 - 660.M41) (67 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 593.M41) (<1 Year)","4th Chapter, Command Squad (660.M41 - 689.M41) (29 Years)
4th Chapter, Command Squad (593.M41 - 660.M41) (67 Years)
Reclusiam (579.M41 - 593.M41) (14 Years)
Chapter Reserve (579.M41 - 579.M41) (<1 Year)
",,
203,Korg Thundermane,,577.M41,591.M41,661.M41,82,,"KIA (Standard Bearer) (661.M41) (82 Years old)
Standard Bearer (605.M41 - 661.M41) (56 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 605.M41) (<1 Year)","8th Chapter, Command Squad (605.M41 - 661.M41) (56 Years)
Chapter Command (591.M41 - 605.M41) (14 Years)
Chapter Reserve (591.M41 - 591.M41) (<1 Year)
",,
204,Grendel Vorn,,593.M41,605.M41,647.M41,54,,"KIA (Chaplain) (647.M41) (54 Years old)
Chaplain (619.M41 - 647.M41) (28 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 619.M41) (<1 Year)","10th Chapter, Command Squad (619.M41 - 647.M41) (28 Years)
Chapter Command (605.M41 - 619.M41) (14 Years)
Chapter Reserve (605.M41 - 605.M41) (<1 Year)
",,
205,Olaf Berg,,563.M41,577.M41,675.M41,110,Flamer (Smog-Piercer) (670.M41 - 675.M41),"KIA (Captain) (675.M41) (110 Years old)
Captain (655.M41 - 675.M41) (20 Years) (90 Years old on date of promotion)
Lieutenant (591.M41 - 655.M41) (64 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 591.M41) (<1 Year)","1st Chapter, Command Squad (655.M41 - 675.M41) (20 Years)
3rd Chapter, Command Squad (591.M41 - 655.M41) (64 Years)
Chapter Command (577.M41 - 591.M41) (14 Years)
Chapter Reserve (577.M41 - 577.M41) (<1 Year)
",,
206,Thoros Hammer-Hand,,566.M41,578.M41,674.M41,108,,"KIA (Chaplain) (674.M41) (108 Years old)
Chaplain (592.M41 - 674.M41) (82 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 592.M41) (<1 Year)","4th Chapter, Command Squad (592.M41 - 674.M41) (82 Years)
Reclusiam (578.M41 - 592.M41) (14 Years)
Chapter Reserve (578.M41 - 578.M41) (<1 Year)
",,
207,Sigurd Forge,,597.M41,609.M41,665.M41,68,,"KIA (Lieutenant) (665.M41) (68 Years old)
Lieutenant (623.M41 - 665.M41) (42 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 623.M41) (<1 Year)","1st Chapter, Command Squad (623.M41 - 665.M41) (42 Years)
Reclusiam (609.M41 - 623.M41) (14 Years)
Chapter Reserve (609.M41 - 609.M41) (<1 Year)
",,
208,Hrolf Slate,,594.M41,607.M41,666.M41,71,,"KIA (Lieutenant) (666.M41) (71 Years old)
Lieutenant (621.M41 - 666.M41) (45 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 621.M41) (<1 Year)","1st Chapter, Command Squad (621.M41 - 666.M41) (45 Years)
Chapter Command (607.M41 - 621.M41) (14 Years)
Chapter Reserve (607.M41 - 607.M41) (<1 Year)
",,
209,Magnus Quake,,550.M41,563.M41,660.M41,109,Lightning Claw (The Steel-Rain Spike) (645.M41 - 660.M41),"KIA (Captain) (660.M41) (109 Years old)
Captain (597.M41 - 660.M41) (63 Years) (46 Years old on date of promotion)
Lieutenant (577.M41 - 597.M41) (20 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 577.M41) (<1 Year)","4th Chapter, Command Squad (597.M41 - 660.M41) (63 Years)
Chapter Command (577.M41 - 597.M41) (20 Years)
Chapter Command (563.M41 - 577.M41) (14 Years)
Chapter Reserve (563.M41 - 563.M41) (<1 Year)
",,
210,Egil Anvil,,599.M41,612.M41,659.M41,59,,"KIA (Chaplain) (659.M41) (59 Years old)
Chaplain (626.M41 - 659.M41) (33 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 626.M41) (1 Years)","10th Chapter, 4th Squad (626.M41 - 659.M41) (33 Years)
Reclusiam (612.M41 - 626.M41) (14 Years)
Chapter Reserve (612.M41 - 612.M41) (<1 Year)
",,
211,Bjorn Richter,,582.M41,596.M41,673.M41,89,,"KIA (Standard Bearer) (673.M41) (89 Years old)
Standard Bearer (610.M41 - 673.M41) (63 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 610.M41) (<1 Year)","9th Chapter, Command Squad (610.M41 - 673.M41) (63 Years)
Chapter Command (596.M41 - 610.M41) (14 Years)
Chapter Reserve (596.M41 - 596.M41) (<1 Year)
",,
212,Ulfric Basalt,,593.M41,607.M41,648.M41,53,,"KIA (Lieutenant) (648.M41) (53 Years old)
Lieutenant (621.M41 - 648.M41) (27 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 621.M41) (<1 Year)","10th Chapter, Command Squad (621.M41 - 648.M41) (27 Years)
Chapter Command (607.M41 - 621.M41) (14 Years)
Chapter Reserve (607.M41 - 607.M41) (<1 Year)
",,
213,Torsten Crag,,567.M41,580.M41,648.M41,80,,"KIA (Lieutenant) (648.M41) (80 Years old)
Lieutenant (594.M41 - 648.M41) (54 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 594.M41) (<1 Year)","5th Chapter, Command Squad (594.M41 - 648.M41) (54 Years)
Libarius (580.M41 - 594.M41) (14 Years)
Chapter Reserve (580.M41 - 580.M41) (<1 Year)
",,
214,Gunnar Weld,,602.M41,616.M41,690.M41,86,,"KIA (Standard Bearer) (690.M41) (86 Years old)
Standard Bearer (647.M41 - 690.M41) (43 Years) (43 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 647.M41) (22 Years)","6th Chapter, Command Squad (647.M41 - 690.M41) (43 Years)
Libarius (616.M41 - 647.M41) (31 Years)
Chapter Reserve (616.M41 - 616.M41) (<1 Year)
",,
215,Snorri Tecton,,567.M41,581.M41,653.M41,84,,"KIA (Lieutenant) (653.M41) (84 Years old)
Lieutenant (595.M41 - 653.M41) (58 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 595.M41) (<1 Year)","5th Chapter, Command Squad (595.M41 - 653.M41) (58 Years)
Libarius (581.M41 - 595.M41) (14 Years)
Chapter Reserve (581.M41 - 581.M41) (<1 Year)
",,
216,Leif Granite,,604.M41,618.M41,691.M41,85,,"KIA (Chaplain) (691.M41) (85 Years old)
Chaplain (647.M41 - 691.M41) (44 Years) (41 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 647.M41) (22 Years)","10th Chapter, Command Squad (647.M41 - 691.M41) (44 Years)
Chapter Command (618.M41 - 647.M41) (29 Years)
Chapter Reserve (618.M41 - 618.M41) (<1 Year)
",,
217,Haakon Steam,,570.M41,582.M41,693.M41,123,,"KIA (Apothecary) (693.M41) (123 Years old)
Apothecary (601.M41 - 693.M41) (92 Years) (31 Years old on date of promotion)
Battle Brother (596.M41 - 601.M41) (5 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 596.M41) (<1 Year)","2nd Chapter, Command Squad (601.M41 - 693.M41) (92 Years)
2nd Chapter, 1st Squad (597.M41 - 601.M41) (4 Years)
Chapter Reserve (596.M41 - 597.M41) (1 Years)
Libarius (582.M41 - 596.M41) (14 Years)
Chapter Reserve (582.M41 - 582.M41) (<1 Year)
",,Demoted on 596.M41 (from Veteran Battle Brother to Battle Brother) Aged 26
218,Roderick Bull,,548.M41,560.M41,654.M41,106,,"KIA (Standard Bearer) (654.M41) (106 Years old)
Standard Bearer (574.M41 - 654.M41) (80 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 574.M41) (<1 Year)","1st Chapter, Command Squad (574.M41 - 654.M41) (80 Years)
Chapter Command (560.M41 - 574.M41) (14 Years)
Chapter Reserve (560.M41 - 560.M41) (<1 Year)
",,
219,Krell Mountain,,573.M41,586.M41,694.M41,120,,"KIA (Standard Bearer) (694.M41) (120 Years old)
Standard Bearer (600.M41 - 694.M41) (94 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 600.M41) (<1 Year)","7th Chapter, Command Squad (600.M41 - 694.M41) (94 Years)
Armory (586.M41 - 600.M41) (14 Years)
Chapter Reserve (586.M41 - 586.M41) (<1 Year)
",,
220,Varin Sludge,,584.M41,598.M41,672.M41,86,,"KIA (Chaplain) (672.M41) (86 Years old)
Chaplain (612.M41 - 672.M41) (60 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 612.M41) (<1 Year)","9th Chapter, Command Squad (612.M41 - 672.M41) (60 Years)
Chapter Command (598.M41 - 612.M41) (14 Years)
Chapter Reserve (598.M41 - 598.M41) (<1 Year)
",,
221,Osric Foundry,,594.M41,608.M41,695.M41,99,Relic Pendant (Laden-Hand Token) (680.M41 - 695.M41),"KIA (Captain) (695.M41) (99 Years old)
Captain (675.M41 - 695.M41) (20 Years) (79 Years old on date of promotion)
Lieutenant (622.M41 - 675.M41) (53 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 622.M41) (<1 Year)","1st Chapter, Command Squad (675.M41 - 695.M41) (20 Years)
10th Chapter, Command Squad (622.M41 - 675.M41) (53 Years)
Apothecarion (608.M41 - 622.M41) (14 Years)
Chapter Reserve (608.M41 - 608.M41) (<1 Year)
",,
222,Brom Piston,,569.M41,583.M41,666.M41,95,,"KIA (Chaplain) (666.M41) (95 Years old)
Chaplain (597.M41 - 666.M41) (69 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 597.M41) (<1 Year)","6th Chapter, Command Squad (597.M41 - 666.M41) (69 Years)
Chapter Command (583.M41 - 597.M41) (14 Years)
Chapter Reserve (583.M41 - 583.M41) (<1 Year)
",,
223,Tybalt Gear,,600.M41,613.M41,667.M41,66,,"KIA (Chaplain) (667.M41) (66 Years old)
Chaplain (627.M41 - 667.M41) (40 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 627.M41) (2 Years)","10th Chapter, 5th Squad (627.M41 - 667.M41) (40 Years)
Chapter Command (613.M41 - 627.M41) (14 Years)
Chapter Reserve (613.M41 - 613.M41) (<1 Year)
",,
224,Yngvar Rivet,,569.M41,583.M41,668.M41,97,,"KIA (Captain) (668.M41) (97 Years old)
Captain (661.M41 - 668.M41) (7 Years) (90 Years old on date of promotion)
Lieutenant (597.M41 - 661.M41) (64 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 597.M41) (<1 Year)","2nd Chapter, Command Squad (661.M41 - 668.M41) (7 Years)
6th Chapter, Command Squad (597.M41 - 661.M41) (64 Years)
Apothecarion (583.M41 - 597.M41) (14 Years)
Chapter Reserve (583.M41 - 583.M41) (<1 Year)
",,
225,Arvid Smelt,,580.M41,592.M41,697.M41,117,Crux Terminatus (The Iron Rain Seal) (678.M41 - 697.M41),"KIA (Captain) (697.M41) (117 Years old)
Captain (668.M41 - 697.M41) (29 Years) (88 Years old on date of promotion)
Lieutenant (606.M41 - 668.M41) (62 Years) (26 Years old on date of promotion)
Veteran Battle Brother (625.M41 - 606.M41) (<1 Year)","2nd Chapter, Command Squad (668.M41 - 697.M41) (29 Years)
Chapter Command (606.M41 - 668.M41) (62 Years)
Chapter Command (592.M41 - 606.M41) (14 Years)
Chapter Reserve (592.M41 - 592.M41) (<1 Year)
",,
